Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
634,80,80,38190,False,3,9,0,08/03/2026 11:13:51,False,0,1,53,35,1,2448,,3,8,4,08/03/2026 11:54:34,False,0,1,3012E671,53,2,8,GF,80/80,1016,1016,Petrel
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
590,31.6,0,4,0.85,0.21,0,0,4,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
600,31.6,0,4,0.85,0.21,0,0,3,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
610,31.6,0,4,0.85,0.21,0,0,3,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
620,28.3,0,3,0.79,0.21,0,0,4,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
630,25.8,0,3,0.74,0.21,0,0,4,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
640,24.9,0,3,0.72,0.21,0,0,7,1,0,30,False,True,1,0,0,0,0,3.85,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
650,23.3,0,3,0.68,0.21,0,0,9,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
660,21.2,0,3,0.64,0.21,0,0,11,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
670,19.3,0,2,0.6,0.21,0,0,16,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
680,17.2,0,2,0.56,0.21,0,0,21,1,0,30,False,True,1,0,0,0,0,3.84,AI désactivée,AI désactivée,UNAVAILABLE_SENSOR_DATA,UNAVAILABLE_SENSOR_DATA,Non appairé,AI désactivée,0,0,0
